"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"98","","Alonzo Mourning","C","Miami Heat",".551","21.7","9.5","1.6","3.7",NA
"99","","Gary Payton","PG","Seattle SuperSonics",".448","24.2","6.5","8.9","0.2",NA
"100","1999","Tim Duncan","C","San Antonio Spurs",".495","21.7","11.4","2.4","2.5",NA
"101","","Jason Kidd","PG","Phoenix Suns",".444","16.9","6.8","10.8","0.4",NA
"102","","Karl Malone","PF","Utah Jazz",".493","23.8","9.4","4.1","0.6",NA
"103","","Alonzo Mourning","C","Miami Heat",".511","20.1","11.0","1.6","3.9",NA
"104","","Gary Payton","PG","Seattle SuperSonics",".434","21.7","4.9","8.7","0.2",NA
"105","","Scottie Pippen","SF","Houston Rockets",".432","14.5","6.5","5.9","0.7",NA
"106","1998","Karl Malone","PF","Utah Jazz",".530","27.0","10.3","3.9","0.9",NA
"107","","Dikembe Mutombo","C","Atlanta Hawks",".537","13.4","11.4","1.0","3.4",NA
"108","","Gary Payton","PG","Seattle SuperSonics",".453","19.2","4.6","8.3","0.2",NA
"109","","Scottie Pippen","SF","Chicago Bulls",".447","19.1","5.2","5.8","1.0",NA
"110","","Michael Jordan","G","Chicago Bulls",".465","28.7","5.8","3.5","0.5",NA
"111","1997","Karl Malone","PF","Utah Jazz",".550","27.4","9.9","4.5","0.6",NA
"112","","Dikembe Mutombo","C","Atlanta Hawks",".527","13.3","11.6","1.4","3.3",NA
"113","","Gary Payton","PG","Seattle SuperSonics",".476","21.8","4.6","7.1","0.2",NA
"114","","Scottie Pippen","SF","Chicago Bulls",".474","20.2","6.5","5.7","0.5",NA
"115","","Michael Jordan","G","Chicago Bulls",".486","29.6","5.9","4.3","0.5",NA
"116","1996","Gary Payton","PG","Seattle SuperSonics",".484","19.3","4.2","7.5","0.2",NA
"117","","Scottie Pippen","SF","Chicago Bulls",".463","19.4","6.4","5.9","0.7",NA
"118","","David Robinson","C","San Antonio Spurs",".516","25.0","12.2","3.0","3.3",NA
"119","","Dennis Rodman","F","Chicago Bulls",".480","5.5","14.9","2.5","0.4",NA
"120","","Michael Jordan","G","Chicago Bulls",".495","30.4","6.6","4.3","0.5",NA
"121","1995","Mookie Blaylock","G","Atlanta Hawks",".425","17.2","4.9","7.7","0.3",NA
"122","","Gary Payton","PG","Seattle SuperSonics",".509","20.6","3.4","7.1","0.2",NA
"123","","Scottie Pippen","SF","Chicago Bulls",".480","21.4","8.1","5.2","1.1",NA
"124","","David Robinson","C","San Antonio Spurs",".530","27.6","10.8","2.9","3.2",NA
"125","","Dennis Rodman","F","San Antonio Spurs",".571","7.1","16.8","2.0","0.5",NA
"126","1994","Mookie Blaylock","G","Atlanta Hawks",".411","13.8","5.2","9.7","0.5",NA
"127","","Charles Oakley","PF","New York Knicks",".478","11.8","11.8","2.7","0.2",NA
"128","","Hakeem Olajuwon","C","Houston Rockets",".528","27.3","11.9","3.6","3.7",NA
"129","","Gary Payton","PG","Seattle SuperSonics",".504","16.5","3.3","6.0","0.2",NA
"130","","Scottie Pippen","SF","Chicago Bulls",".491","22.0","8.7","5.6","0.8",NA
"131","1993","Hakeem Olajuwon","C","Houston Rockets",".529","26.1","13.0","3.5","4.2",NA
"132","","Scottie Pippen","SF","Chicago Bulls",".473","18.6","7.7","6.3","0.9",NA
"133","","Dennis Rodman","F","Detroit Pistons",".427","7.5","18.3","1.6","0.7",NA
"134","","Michael Jordan","G","Chicago Bulls",".495","32.6","6.7","5.5","0.8",NA
"135","","Joe Dumars","G","Detroit Pistons",".466","23.5","1.9","4.0","0.1",NA
"136","1992","Scottie Pippen","SF","Chicago Bulls",".506","21.0","7.7","7.0","1.1",NA
"137","","David Robinson","C","San Antonio Spurs",".551","23.2","12.2","2.7","4.5",NA
"138","","Dennis Rodman","F","Detroit Pistons",".539","9.8","18.7","2.3","0.9",NA
"139","","Michael Jordan","G","Chicago Bulls",".519","30.1","6.4","6.1","0.9",NA
"140","","Joe Dumars","G","Detroit Pistons",".448","19.9","2.3","4.6","0.1",NA
"141","1991","David Robinson","C","San Antonio Spurs",".552","25.6","13.0","2.5","3.9",NA
"142","","Dennis Rodman","F","Detroit Pistons",".493","8.2","12.5","1.0","0.7",NA
"143","","Michael Jordan","G","Chicago Bulls",".539","31.5","6.0","5.5","1.0",NA
"144","","Buck Williams","F","Portland Trail Blazers",".602","11.7","9.4","1.2","0.6",NA
"145","","Alvin Robertson","G","Milwaukee Bucks",".485","13.6","5.7","5.5","0.2",NA
"146","1990","Hakeem Olajuwon","C","Houston Rockets",".501","24.3","14.0","2.9","4.6",NA
"147","","Dennis Rodman","F","Detroit Pistons",".581","8.8","9.7","0.9","0.7",NA
"148","","Michael Jordan","G","Chicago Bulls",".526","33.6","6.9","6.3","0.7",NA
"149","","Buck Williams","F","Portland Trail Blazers",".548","13.6","9.8","1.4","0.5",NA
"150","","Joe Dumars","G","Detroit Pistons",".480","17.8","2.8","4.9","0.0",NA
"151","1989","Dennis Rodman","F","Detroit Pistons",".595","9.0","9.4","1.2","0.9",NA
"152","","Michael Jordan","G","Chicago Bulls",".538","32.5","8.0","8.0","0.8",NA
"153","","Joe Dumars","G","Detroit Pistons",".505","17.2","2.5","5.7","0.1",NA
"154","","Mark Eaton","C","Utah Jazz",".462","6.2","10.3","1.0","3.8",NA
"155","","Larry Nance","F","Cleveland Cavaliers",".539","17.2","8.0","2.2","2.8",NA
"156","1988","Hakeem Olajuwon","C","Houston Rockets",".514","22.8","12.1","2.1","2.7",NA
"157","","Michael Jordan","G","Chicago Bulls",".535","35.0","5.5","5.9","1.6",NA
"158","","Kevin McHale","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"159","","Michael Cooper","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"160","","Rodney McCray","","Houston Rockets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"161","1987","Hakeem Olajuwon","C","Houston Rockets",".508","23.4","11.4","2.9","3.4",NA
"162","","Alvin Robertson","G","San Antonio Spurs",".466","17.7","5.2","5.2","0.4",NA
"163","","Kevin McHale","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"164","","Michael Cooper","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"165","","Dennis Johnson","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"166","1986","Mark Eaton","C","Utah Jazz",".470","8.5","8.4","1.3","4.6",NA
"167","","Kevin McHale","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"168","","Maurice Cheeks","","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"169","","Sidney Moncrief","G","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"170","","Paul Pressey","","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"171","1985","Mark Eaton","C","Utah Jazz",".449","9.7","11.3","1.5","5.6",NA
"172","","Maurice Cheeks","","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"173","","Michael Cooper","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"174","","Sidney Moncrief","G","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"175","","Paul Pressey","","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"176","1984","Bobby Jones","SF","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"177","","Tree Rollins","C","Atlanta Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"178","","Maurice Cheeks","","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"179","","Michael Cooper","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"180","","Sidney Moncrief","G","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"181","1983","Bobby Jones","SF","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"182","","Moses Malone","C","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"183","","Maurice Cheeks","","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"184","","Dennis Johnson","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"185","","Sidney Moncrief","G","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"186","","Danny Roundfield","","Atlanta Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"187","1982","Bobby Jones","SF","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"188","","Michael Cooper","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"189","","Dennis Johnson","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"190","","Caldwell Jones","","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"191","","Danny Roundfield","","Atlanta Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"192","1981","Bobby Jones","SF","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"193","","Kareem Abdul-Jabbar","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"194","","Dennis Johnson","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"195","","Caldwell Jones","","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"196","","Micheal Richardson","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"197","1980","Bobby Jones","SF","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"198","","Kareem Abdul-Jabbar","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"199","","Donald Buse","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"200","","Dennis Johnson","","Seattle SuperSonics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"201","","Micheal Richardson","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"202","","Danny Roundfield","","Atlanta Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"203","1979","Bobby Jones","SF","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"204","","Kareem Abdul-Jabbar","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"205","","Donald Buse","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"206","","Bob Dandridge","GF","Washington Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"207","","Dennis Johnson","","Seattle SuperSonics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"208","1978","Bobby Jones","SF","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"209","","Bill Walton","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"210","","Donald Buse","","Phoenix Suns","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"211","","Lionel Hollins","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"212","","Maurice Lucas","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"213","1977","Bobby Jones","SF","Philadelphia 76ers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"214","","Bill Walton","","Portland Trail Blazers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"215","","Donald Buse","","Indiana Pacers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"216","","E. Coleman","","Golden State Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"217","","Norman Van Lier","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"218","1976","John Havlicek","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"219","","David Cowens","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"220","","Paul Silas","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"221","","Norman Van Lier","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"222","","Stanley Washington","","Seattle SuperSonics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"223","1975","John Havlicek","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"224","","Walter Frazier","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"225","","Kareem Abdul-Jabbar","","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"226","","Paul Silas","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"227","","Jerry Sloan","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"228","1974","John Havlicek","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"229","","David DeBusschere","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"230","","Walter Frazier","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"231","","Kareem Abdul-Jabbar","","Milwaukee Bucks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"232","","Jerry Sloan","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"233","","Norman Van Lier","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"234","1973","John Havlicek","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"235","","David DeBusschere","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"236","","Walter Frazier","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"237","","Wilt Chamberlain","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"238","","Jerry West","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"239","1972","John Havlicek","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"240","","David DeBusschere","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"241","","Walter Frazier","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"242","","Wilt Chamberlain","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"243","","Jerry West","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"244","","Jerry Sloan","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"245","1971","David DeBusschere","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"246","","Walter Frazier","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"247","","Nathaniel Thurmond","","San Francisco Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"248","","Jerry West","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"249","","Gus Johnson","FC","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"250","1970","David DeBusschere","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"251","","Walter Frazier","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"252","","Willis Reed","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"253","","Jerry West","","Los Angeles Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"254","","Gus Johnson","FC","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"255","1969","David DeBusschere","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"256","","Walter Frazier","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"257","","Nathaniel Thurmond","","San Francisco Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"258","","Bill Russell","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"259","","Jerry Sloan","","Chicago Bulls","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
