"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"278","","Howard Komives","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"279","1964","Jerry Lucas","C","Cincinnati Royals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"280","","Nathaniel Thurmond","","San Francisco Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"281","","Arthur Heyman","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"282","","Gus Johnson","FC","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"283","","Rod Thorn","","Baltimore Bullets","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"284","1963","John Havlicek","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"285","","David DeBusschere","","Detroit Pistons","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"286","","Zelmo Beaty","","St. Louis Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"287","","Terry Dischinger","","Chicago Zephyrs","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"288","","Milt Wagner","GF","Syracuse Nationals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
